day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
5;0;UKULELE;20568;63;;;;;20570;63;;;;;20569.0;0.0
5;0;BAGUETTE;12419;55;12418;92;;;12420;55;12421;92;;;12419.5;0.0
5;0;PICNIC_BASKET;73844;2;73843;19;73842;24;73855;2;73856;19;73858;24;73849.5;0.0
5;0;BERRIES;3879;19;3878;49;;;3886;19;3887;49;;;3882.5;0.0
5;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;0;DIVING_GEAR;100380;25;;;;;100383;25;;;;;100381.5;0.0
5;0;BANANAS;4768;3;4767;22;;;4773;22;;;;;4770.5;0.0
5;0;PINA_COLADAS;14839;40;14838;52;;;14842;92;;;;;14840.5;0.0
5;0;PEARLS;9998;3;9996;2;9995;20;10004;2;10005;20;;;10001.0;0.0
5;0;COCONUTS;7909;180;;;;;7912;180;;;;;7910.5;0.0
5;0;DIP;7042;199;;;;;7044;199;;;;;7043.0;0.0
5;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;100;PINA_COLADAS;14838;81;;;;;14841;81;;;;;14839.5;0.0
5;100;DIP;7044;231;;;;;7046;231;;;;;7045.0;20.3828125
5;100;BAGUETTE;12422;54;12421;58;;;12423;54;12424;58;;;12422.5;143.9375
5;100;PICNIC_BASKET;73865;7;73860;1;73859;18;73871;1;73872;18;73873;20;73868.0;20.96875
5;100;BERRIES;3882;4;3878;18;3877;47;3885;18;3886;47;;;3883.5;23.296875
5;100;DIVING_GEAR;100366;24;;;;;100369;24;;;;;100367.5;-30.734375
5;100;BANANAS;4771;1;4770;4;4767;6;4773;28;;;;;4772.0;0.0
5;100;PEARLS;9998;6;9996;1;9995;27;10000;5;10004;1;10005;27;9999.0;0.0
5;100;COCONUTS;7909;166;;;;;7912;166;;;;;7910.5;0.0
5;100;UKULELE;20572;53;;;;;20573;20;20574;33;;;20572.5;170.0
5;200;DIVING_GEAR;100371;6;100370;15;;;100373;6;100374;15;;;100372.0;-15.5
5;200;BANANAS;4766;24;;;;;4773;24;;;;;4769.5;3.458984375
5;200;PINA_COLADAS;14838;92;;;;;14841;92;;;;;14839.5;0.0
5;200;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
5;200;COCONUTS;7909;173;;;;;7912;173;;;;;7910.5;0.0
5;200;DIP;7045;290;;;;;7047;290;;;;;7046.0;35.859375
5;200;BAGUETTE;12422;41;12421;94;;;12423;41;12424;94;;;12422.5;106.75
5;200;PICNIC_BASKET;73877;1;73866;2;73865;15;73879;15;73880;15;;;73878.0;34.4375
5;200;BERRIES;3879;15;3878;59;;;3886;15;3887;59;;;3882.5;15.2265625
5;200;UKULELE;20571;58;;;;;20573;58;;;;;20572.0;128.25
5;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;300;DIVING_GEAR;100374;6;100373;16;;;100376;6;100377;16;;;100375.0;-0.625
5;300;BANANAS;4766;30;;;;;4773;30;;;;;4769.5;4.921875
5;300;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;2.0
5;300;COCONUTS;7909;67;7908;145;;;7911;212;;;;;7910.0;0.0
5;300;UKULELE;20572;15;20571;36;;;20573;51;;;;;20572.5;141.875
5;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;300;PINA_COLADAS;14837;22;14836;68;;;14840;90;;;;;14838.5;0.0
5;300;DIP;7044;205;;;;;7046;205;;;;;7045.0;-37.1875
5;300;BAGUETTE;12424;8;12423;94;;;12425;34;12426;60;;;12424.5;343.375
5;300;PICNIC_BASKET;73866;3;73861;2;73860;16;73872;2;73873;16;73874;15;73869.0;-134.5
5;300;BERRIES;3879;16;3878;54;;;3886;16;3887;54;;;3882.5;14.5546875
5;400;BAGUETTE;12422;136;;;;;12424;136;;;;;12423.0;162.625
5;400;PICNIC_BASKET;73849;10;73848;24;;;73862;10;73863;24;;;73855.5;-331.25
5;400;BERRIES;3880;10;3879;42;;;3886;10;3887;42;;;3883.0;9.9296875
5;400;UKULELE;20575;74;;;;;20576;24;20577;50;;;20575.5;369.25
5;400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;400;DIVING_GEAR;100369;17;;;;;100372;17;;;;;100370.5;-38.4375
5;400;BANANAS;4766;20;;;;;4773;20;;;;;4769.5;3.828125
5;400;PINA_COLADAS;14834;102;;;;;14837;102;;;;;14835.5;0.0
5;400;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;2.0
5;400;COCONUTS;7909;61;7908;104;;;7911;165;;;;;7910.0;0.0
5;400;DIP;7042;275;;;;;7044;275;;;;;7043.0;-176.125
5;500;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3164.0;0.0
5;500;PINA_COLADAS;14830;91;;;;;14833;91;;;;;14831.5;0.0
5;500;DIP;7044;98;7043;170;;;7045;98;7046;170;;;7044.5;-64.875
5;500;BAGUETTE;12424;142;;;;;12426;142;;;;;12425.0;458.875
5;500;PICNIC_BASKET;73848;2;73847;19;73846;30;73859;2;73860;19;73861;30;73853.5;-447.5
5;500;BERRIES;3880;19;3879;46;;;3887;19;3888;46;;;3883.5;4.42578125
5;500;DIVING_GEAR;100374;10;100373;19;;;100376;10;100377;19;;;100375.0;5.875
5;500;PEARLS;10002;2;9996;2;9995;27;10004;2;10005;27;;;10003.0;2.0
5;500;COCONUTS;7907;78;7906;130;;;7909;208;;;;;7908.0;0.0
5;500;BANANAS;4767;2;4766;27;;;4773;29;;;;;4770.0;25.94140625
5;500;UKULELE;20580;30;20579;45;;;20581;75;;;;;20580.5;701.5
5;600;BANANAS;4769;6;4767;24;;;4773;24;;;;;4771.0;26.173828125
5;600;DIVING_GEAR;100379;7;100378;12;;;100381;7;100382;12;;;100380.0;63.125
5;600;PINA_COLADAS;14831;21;14830;64;;;14834;85;;;;;14832.5;0.0
5;600;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;6.0
5;600;COCONUTS;7907;205;;;;;7909;205;;;;;7908.0;0.0
5;600;DIP;7045;254;;;;;7047;254;;;;;7046.0;58.4375
